"subject","cond","t","predictable","rt"
11,1,12,"3",1081
11,1,13,"1",826
11,1,13,"3",1095
11,1,14,"1",883
11,1,14,"3",968
11,1,15,"1",1202
11,1,15,"3",1307
11,1,16,"1",1216
11,1,16,"3",1091
11,1,17,"1",1783
11,1,17,"3",1383
11,1,18,"1",970
11,1,18,"3",1032
11,1,19,"1",932
11,1,19,"3",1032
11,1,20,"1",901
11,1,20,"3",991
11,1,21,"1",924
11,1,21,"3",1084
11,1,22,"1",1009
11,1,22,"3",1124
11,1,23,"1",937
11,1,23,"3",1048
11,1,24,"1",859
11,1,24,"3",997
11,1,25,"1",990
11,1,25,"3",1131
11,1,26,"1",1055
11,1,26,"3",1116
11,1,27,"1",920
11,1,27,"3",1005
11,1,28,"1",865
11,1,28,"3",1025
11,1,29,"1",847
11,1,29,"3",1119
11,1,30,"1",866
11,1,30,"3",1110
11,1,31,"1",889
11,1,31,"3",975
11,1,32,"1",896
11,1,32,"3",1083
11,1,33,"1",916
11,1,33,"3",1216
11,1,34,"1",773
11,1,34,"3",885
11,1,35,"1",750
11,1,35,"3",965
11,1,36,"1",849
11,1,36,"3",1023
11,1,37,"1",820
11,1,37,"3",1116
11,1,38,"1",852
11,1,38,"3",1079
11,1,39,"3",856
11,1,40,"1",805
11,1,40,"3",954
11,1,41,"1",712
11,1,41,"3",970
11,1,42,"1",873
11,1,42,"3",1006
11,1,43,"1",721
11,1,43,"3",1014
11,1,44,"1",773
11,1,44,"3",931
11,1,45,"1",651
11,1,45,"3",904
11,1,46,"1",860
11,1,46,"3",951
11,1,47,"1",904
11,1,47,"3",990
11,1,48,"1",742
11,1,48,"3",951
11,1,49,"1",801
11,1,49,"3",971
11,1,50,"1",687
11,1,50,"3",864
11,1,51,"1",829
11,1,51,"3",900
11,1,52,"1",818
11,1,52,"3",934
11,1,53,"1",691
11,1,53,"3",981
11,1,54,"1",894
11,1,54,"3",965
11,1,55,"1",788
11,1,55,"3",609
11,1,56,"1",769
11,1,56,"3",931
11,1,57,"1",771
11,1,57,"3",949
11,1,58,"1",955
11,1,58,"3",602
11,1,59,"1",918
11,1,59,"3",1005
11,1,60,"1",752
11,1,60,"3",648
11,1,61,"1",868
11,1,61,"3",404
11,1,62,"1",882
11,1,62,"3",542
11,1,63,"1",818
11,1,63,"3",546
11,1,64,"1",899
11,1,64,"3",1272
11,1,65,"1",822
